,category,data,source,day,day_of_week,key_category,name_category
1066,Спорт,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=16, tm_min=32, tm_sec=51, tm_wday=2, tm_yday=362, tm_isdst=0)",https://tass.ru/rss/v2.xml,28.12.2022,2,sport,Спорт
1067,Спорт,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=16, tm_min=6, tm_sec=55, tm_wday=2, tm_yday=362, tm_isdst=0)",https://tass.ru/rss/v2.xml,28.12.2022,2,sport,Спорт
1068,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=17, tm_min=2, tm_sec=0, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,science,Наука и техника
1069,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=16, tm_min=4, tm_sec=0, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,science,Наука и техника
1070,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=15, tm_min=5, tm_sec=0, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,science,Наука и техника
1071,Космос,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=0, tm_min=10, tm_sec=31, tm_wday=2, tm_yday=362, tm_isdst=0)",https://tass.ru/rss/v2.xml,28.12.2022,2,science,Наука и техника
1072,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=8, tm_min=23, tm_sec=43, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,science,Наука и техника
1073,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=7, tm_min=5, tm_sec=0, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,science,Наука и техника
1074,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=6, tm_min=0, tm_sec=27, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,science,Наука и техника
1075,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=3, tm_min=30, tm_sec=31, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,science,Наука и техника
1076,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=1, tm_min=30, tm_sec=11, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,science,Наука и техника
1077,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=21, tm_min=39, tm_sec=0, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,science,Наука и техника
1078,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=27, tm_hour=21, tm_min=10, tm_sec=10, tm_wday=1, tm_yday=361, tm_isdst=0)",https://lenta.ru/rss/,27.12.2022,1,science,Наука и техника
1079,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=16, tm_min=10, tm_sec=0, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,science,Наука и техника
1080,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=15, tm_min=8, tm_sec=0, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,science,Наука и техника
1081,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=14, tm_min=0, tm_sec=40, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,science,Наука и техника
1082,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=13, tm_min=50, tm_sec=0, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,science,Наука и техника
1083,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=13, tm_min=11, tm_sec=58, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,science,Наука и техника
1084,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=12, tm_min=41, tm_sec=0, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,science,Наука и техника
1085,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=11, tm_min=56, tm_sec=0, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,science,Наука и техника
1086,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=11, tm_min=17, tm_sec=0, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,science,Наука и техника
1087,Наука и техника,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=10, tm_min=36, tm_sec=0, tm_wday=2, tm_yday=362, tm_isdst=0)",https://lenta.ru/rss/,28.12.2022,2,science,Наука и техника
1088,Москва,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=4, tm_min=7, tm_sec=25, tm_wday=2, tm_yday=362, tm_isdst=0)",https://tass.ru/rss/v2.xml,28.12.2022,2,unknown,Неизвестно
1089,Москва,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=3, tm_min=50, tm_sec=35, tm_wday=2, tm_yday=362, tm_isdst=0)",https://tass.ru/rss/v2.xml,28.12.2022,2,unknown,Неизвестно
1090,Москва,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=3, tm_min=25, tm_sec=59, tm_wday=2, tm_yday=362, tm_isdst=0)",https://tass.ru/rss/v2.xml,28.12.2022,2,unknown,Неизвестно
1091,Москва,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=3, tm_min=8, tm_sec=21, tm_wday=2, tm_yday=362, tm_isdst=0)",https://tass.ru/rss/v2.xml,28.12.2022,2,unknown,Неизвестно
1092,Армия и ОПК,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=2, tm_min=31, tm_sec=52, tm_wday=2, tm_yday=362, tm_isdst=0)",https://tass.ru/rss/v2.xml,28.12.2022,2,unknown,Неизвестно
1093,Армия и ОПК,"time.struct_time(tm_year=2022, tm_mon=12, tm_mday=28, tm_hour=2, tm_min=25, tm_sec=53, tm_wday=2, tm_yday=362, tm_isdst=0)",https://tass.ru/rss/v2.xml,28.12.2022,2,unknown,Неизвестно
